County,2021,2022,2023
Charlton,"31,040","31,582","32,717"
Chatham,"56,536","56,676","59,376"
Chattahoochee,"38,654","37,760","38,026"
Chattooga,"37,014","37,111","38,269"
Cherokee,"62,910","67,315","71,255"
Clarke,"40,631","42,153","43,899"
Clay,"40,688","38,237","39,127"
Clayton,"35,003","33,873","34,871"
Clinch,"42,287","43,977","45,218"
Cobb,"67,894","71,749","75,176"
Coffee,"40,921","39,321","40,334"
Colquitt,"40,854","41,512","42,437"
Columbia,"58,551","59,114","61,147"
Cook,"39,746","39,357","40,392"
Coweta,"57,523","59,223","62,396"
Crawford,"40,611","40,842","40,651"
Crisp,"46,242","46,153","48,309"
Dade,"41,069","42,382","43,769"
Dawson,"57,601","60,181","63,599"
Decatur,"42,214","43,054","44,657"
DeKalb,"62,228","64,669","67,811"
Dodge,"37,957","36,395","38,758"
Dooly,"44,576","45,682","43,325"
Dougherty,"46,311","45,927","47,803"
Douglas,"43,879","43,755","45,636"
Early,"44,303","43,928","44,161"
Echols,"35,156","33,357","34,289"
Effingham,"48,317","48,805","50,587"
Elbert,"41,802","43,130","44,067"
Emanuel,"41,399","39,618","41,102"
Evans,"41,080","40,658","42,033"
Fannin,"47,735","51,143","54,467"
Fayette,"74,418","73,658","77,577"
Floyd,"44,177","44,332","46,727"
Forsyth,"74,584","79,986","84,447"
Franklin,"40,801","44,534","41,656"
Fulton,"100,995","100,577","106,131"
Gilmer,"42,781","45,922","47,155"
Glascock,"41,115","39,759","41,959"
Glynn,"57,800","59,663","62,751"
Gordon,"43,088","45,387","45,960"
Grady,"39,414","38,461","39,758"
Greene,"73,024","79,451","82,896"
Gwinnett,"50,066","51,729","54,331"
Habersham,"39,366","40,550","40,806"
Hall,"55,114","57,126","60,036"
Hancock,"35,097","36,195","36,621"
Haralson,"44,224","45,239","46,887"
Harris,"56,765","57,319","60,495"
Hart,"43,869","46,161","46,368"
Heard,"41,117","41,139","41,968"
Henry,"46,638","47,590","49,576"
Houston,"49,419","48,502","50,250"
Irwin,"42,700","44,027","45,263"
Jackson,"52,143","56,230","58,834"
Jasper,"46,208","47,025","49,780"
Jeff Davis,"37,926","37,649","38,657"
Jefferson,"42,705","42,441","45,063"
Jenkins,"37,731","36,612","38,045"
Johnson,"34,595","32,515","34,237"
Jones,"44,453","44,111","45,119"
Lamar,"43,577","44,382","45,645"
Lanier,"35,842","34,297","35,327"
Laurens,"43,900","43,178","45,805"
Lee,"51,606","51,788","53,825"
Liberty,"40,896","40,145","41,343"
Lincoln,"47,721","46,639","48,452"
Long,"40,511","39,205","40,741"
Lowndes,"44,291","43,835","45,758"
Lumpkin,"47,607","47,008","49,173"
McDuffie,"43,686","43,320","44,291"
McIntosh,"47,686","48,910","50,929"
Macon,"39,911","44,156","41,839"
Madison,"43,669","47,184","46,890"
Marion,"40,048","38,561","39,386"
Meriwether,"44,139","44,563","46,981"
Miller,"52,636","52,307","52,904"
Mitchell,"44,957","45,403","44,877"
Monroe,"53,806","54,718","56,136"
Montgomery,"38,661","36,905","37,828"
Morgan,"60,541","61,293","63,507"
Murray,"37,345","38,242","38,846"
Muscogee,"47,719","49,232","51,442"
Newton,"42,087","42,052","43,952"
Oconee,"75,826","83,265","87,461"
Oglethorpe,"44,338","47,061","47,014"
Paulding,"46,912","47,668","50,181"
Peach,"44,926","44,579","46,062"
Pickens,"58,192","60,575","63,367"
Pierce,"42,709","41,894","42,832"
Pike,"49,110","50,567","52,786"
Polk,"39,380","40,471","41,831"
Pulaski,"42,601","40,972","41,152"
Putnam,"53,333","56,375","58,653"
Quitman,"38,421","38,170","39,745"
Rabun,"51,221","51,594","54,148"
Randolph,"43,582","43,105","45,285"
Richmond,"43,648","43,788","45,441"
Rockdale,"42,060","41,751","43,568"
Schley,"45,008","44,323","45,658"
Screven,"40,788","41,260","42,295"
Seminole,"47,235","45,171","47,396"
Spalding,"43,034","42,870","44,742"
Stephens,"43,644","45,412","46,093"
Stewart,"34,013","36,565","36,853"
Sumter,"43,601","43,918","45,394"
Talbot,"47,665","45,894","49,053"
Taliaferro,"41,489","43,516","41,595"
Tattnall,"35,093","36,912","35,381"
Taylor,"39,841","38,507","42,058"
Telfair,"30,518","28,959","34,086"
Terrell,"47,820","46,980","48,546"
Thomas,"53,047","54,279","57,135"
Tift,"45,183","46,098","48,399"
Toombs,"42,946","42,852","44,036"
Towns,"47,344","48,175","51,955"
Treutlen,"38,425","39,341","41,701"
Troup,"44,938","45,331","47,658"
Turner,"38,473","38,501","39,005"
Twiggs,"45,043","43,948","45,169"
Union,"44,841","45,528","47,853"
Upson,"41,348","42,144","43,541"
Walker,"41,454","42,812","44,195"
Walton,"50,551","52,511","53,871"
Ware,"39,656","39,208","39,743"
Warren,"41,872","41,268","42,403"
Washington,"42,372","41,789","43,518"
Wayne,"39,037","38,345","39,274"
Webster,"41,294","39,860","43,964"
Wheeler,"23,830","23,466","24,588"
White,"48,170","48,617","50,043"
Whitfield,"46,950","46,258","47,955"
Wilcox,"32,535","33,792","32,581"
Wilkes,"48,359","52,431","51,478"
Wilkinson,"43,144","42,270","43,443"
Worth,"41,743","41,713","42,753"


Hawaii,"50,333","50,559","52,866"
Honolulu,"63,755","65,708","69,893"
Kauai,"56,643","58,335","61,257"
