County,2021,2022,2023
Lincoln,"53,356","51,467","51,607"
Mason,"51,240","50,777","54,701"
Okanogan,"50,570","49,990","52,446"
Pacific,"46,831","47,230","50,282"
Pend Oreille,"49,635","49,649","52,605"
Pierce,"59,325","61,057","65,188"
San Juan,"84,201","85,647","93,395"
Skagit,"61,889","62,938","67,173"
Skamania,"61,647","62,970","67,073"
Snohomish,"67,515","70,051","75,320"
Spokane,"54,258","55,407","58,630"
Stevens,"47,046","46,767","49,484"
Thurston,"58,681","61,296","65,892"
Wahkiakum,"50,698","50,641","54,133"
Walla Walla,"54,678","54,862","56,420"
Whatcom,"58,107","59,169","62,095"
Whitman,"51,495","47,204","48,522"
Yakima,"49,918","49,680","51,488"


Barbour,"41,056","41,289","42,530"
Berkeley,"51,155","51,772","54,940"
Boone,"41,428","41,814","43,398"
Braxton,"40,682","40,416","42,520"
Brooke,"49,449","51,046","53,325"
Cabell,"49,384","50,998","54,209"
Calhoun,"41,800","41,532","44,580"
Clay,"39,158","39,151","41,070"
Doddridge,"37,308","39,383","40,875"
Fayette,"44,231","44,859","47,212"
Gilmer,"36,225","36,538","38,947"
Grant,"46,167","47,897","47,890"
Greenbrier,"46,603","47,453","50,142"
Hampshire,"45,139","45,182","46,417"
Hancock,"50,091","51,423","53,854"
Hardy,"40,407","45,583","43,439"
Harrison,"57,138","59,939","63,351"
Jackson,"44,893","46,178","48,978"
Jefferson,"61,072","63,053","66,514"
Kanawha,"55,337","57,868","61,400"
Lewis,"43,402","44,293","46,994"
Lincoln,"36,873","36,931","38,761"
Logan,"42,379","44,821","46,862"
McDowell,"34,021","34,264","35,813"
Marion,"48,615","49,990","51,911"
Marshall,"46,916","50,166","51,767"
Mason,"42,057","41,921","44,435"
Mercer,"44,804","45,286","48,086"
Mineral,"50,327","47,743","49,484"
Mingo,"36,736","36,887","39,157"
Monongalia,"53,257","55,502","58,418"
Monroe,"40,642","40,435","42,813"
Morgan,"45,227","43,695","45,801"
Nicholas,"40,533","40,643","44,299"
Ohio,"62,968","64,030","67,565"
Pendleton,"50,215","54,922","52,532"
Pleasants,"48,663","50,583","53,911"
Pocahontas,"50,917","51,364","53,487"
Preston,"42,245","42,315","44,252"
Putnam,"53,879","54,441","58,105"
Raleigh,"47,244","49,069","51,780"
Randolph,"45,461","45,739","48,669"
Ritchie,"52,160","55,110","57,425"
Roane,"39,272","39,430","41,660"
Summers,"42,703","43,744","46,136"
Taylor,"48,483","49,647","52,597"
Tucker,"52,784","54,952","57,622"
Tyler,"51,583","60,754","62,069"
Upshur,"40,997","42,033","45,382"
Wayne,"40,969","42,230","44,163"
Webster,"34,747","32,839","34,445"
Wetzel,"43,745","46,633","47,984"
Wirt,"41,886","41,281","44,759"
Wood,"55,076","56,161","58,971"
Wyoming,"34,494","35,788","37,028"


Adams,"45,813","44,489","46,249"
Ashland,"46,589","47,606","49,350"
Barron,"60,011","58,713","60,564"
Bayfield,"54,282","52,506","55,598"
Brown,"60,759","62,163","65,199"
Buffalo,"55,042","56,341","57,210"
Burnett,"48,288","49,042","51,815"
Calumet,"58,185","59,530","61,851"
Chippewa,"53,765","55,065","56,815"
Clark,"50,241","50,311","50,617"
Columbia,"61,228","63,838","67,169"
Crawford,"50,116","49,865","51,946"
Dane,"72,420","73,877","77,996"
Dodge,"51,580","53,210","55,856"
Door,"69,918","72,905","78,073"
Douglas,"49,297","50,505","52,634"
Dunn,"49,854","49,328","50,772"
Eau Claire,"56,593","58,235","60,575"
Florence,"62,309","61,565","66,422"
Fond du Lac,"56,767","58,178","60,018"
Forest,"46,352","46,337","49,367"
Grant,"51,653","52,050","53,781"
Green,"63,594","62,739","65,549"
Green Lake,"51,402","51,365","53,073"
Iowa,"58,159","58,730","61,591"
Iron,"54,987","53,723","56,207"
Jackson,"51,893","50,837","52,237"
Jefferson,"53,915","55,703","58,374"
Juneau,"46,912","46,758","49,419"
Kenosha,"56,474","57,885","60,599"
Kewaunee,"56,782","58,142","58,406"
La Crosse,"59,667","59,428","62,336"
Lafayette,"51,255","52,837","55,006"
Langlade,"51,043","51,377","53,770"
Lincoln,"52,558","54,159","56,296"
Manitowoc,"53,664","55,070","57,585"
Marathon,"59,188","60,324","62,707"
Marinette,"51,694","51,882","53,841"
Marquette,"49,404","49,119","51,068"
Menominee,"42,911","41,579","42,070"
Milwaukee,"56,028","57,683","60,114"
Monroe,"50,107","50,984","52,978"
Oconto,"53,272","53,577","55,183"
Oneida,"54,978","57,698","60,846"
Outagamie,"59,417","61,793","64,867"
Ozaukee,"94,758","98,530","104,780"
Pepin,"60,397","61,932","64,105"
Pierce,"57,499","58,430","61,101"
Polk,"54,184","55,039","57,391"
Portage,"54,693","55,050","57,490"
Price,"51,173","52,330","55,355"
Racine,"56,574","59,697","62,570"
Richland,"51,586","51,978","53,743"
Rock,"52,003","53,827","56,319"
Rusk,"52,487","54,257","55,836"
St. Croix,"65,134","67,270","70,354"
Sauk,"62,989","62,841","66,107"
Sawyer,"51,260","51,751","54,542"
Shawano,"50,356","51,102","51,974"
Sheboygan,"58,795","60,511","63,878"
Taylor,"51,029","49,868","50,834"
Trempealeau,"51,478","51,619","52,737"
Vernon,"49,993","50,009","52,023"
Vilas,"59,459","61,719","65,477"
Walworth,"61,140","64,144","67,665"
Washburn,"55,304","55,501","58,092"
Washington,"66,611","69,370","73,187"
Waukesha,"83,902","86,498","91,766"
Waupaca,"54,486","54,111","56,482"
Waushara,"47,027","47,023","48,666"
Winnebago,"56,110","57,505","60,180"
Wood,"52,699","54,430","56,746"


Albany,"49,618","50,607","54,052"
Big Horn,"46,281","48,425","50,641"
Campbell,"56,172","58,991","62,147"
Carbon,"64,862","68,464","68,521"
Converse,"68,870","67,699","70,943"
Crook,"55,094","60,793","63,785"
Fremont,"50,880","53,574","56,891"
Goshen,"51,258","51,161","54,733"
Hot Springs,"71,989","78,661","63,816"
Johnson,"60,879","66,043","70,887"
Laramie,"60,073","60,874","65,150"
Lincoln,"60,946","67,828","73,432"
Natrona,"67,034","75,040","79,846"
Niobrara,"56,865","56,750","59,399"
Park,"68,038","71,682","77,015"
Platte,"54,534","56,073","59,292"
Sheridan,"65,034","69,348","73,622"
Sublette,"64,140","66,916","70,620"
Sweetwater,"56,150","60,115","64,115"
Teton,"353,263","418,669","471,751"
Uinta,"44,685","46,401","49,350"
Washakie,"58,601","54,752","57,474"
Weston,"50,512","51,090","54,380"



